"","cage","site","depth","station","week","survivors","av_length","SD","biom","min.do","max.do","mean.do","sd.do","min.temp","max.temp","mean.temp","sd.T","do.dur","temp.dur","mean.sal","sd.sal","ssat"
"1","CPD1","CP","deep","CPD",0,10,39.3,4.196427052,1089.61662697751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CPD1","CP","deep","CPD",1,10,40.1,5.37494186,1207.43231422661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","CPD1","CP","deep","CPD",2,10,46.2,7.93473377,2074.63872846755,1.43,12.41,7.81672473867596,2.20377159891619,12.31,22.18,17.0450987224158,2.4604056000966,165,0,31.5773817842044,0.819015850958255,3570
"4","CPD1","CP","deep","CPD",3,10,49.7,8.462269199,2705.15851759723,0.2,10.96,7.30201822916667,2.27378609869394,17.66,22.81,20.0035026041667,1.50394807585113,630,0,29.6940515294271,0.611320793961351,2745
"5","CPD1","CP","deep","CPD",4,9,54.33333333,7.51295178,3225.01494444346,0.01,9.24,3.72296160877514,2.91171852450107,16.04,19.97,18.0664533820841,0.783115221245167,2955,0,29.9599357159049,0.244252774440211,120
"6","CPD1","CP","deep","CPD",5,9,59.22222222,9.077172562,4437.5488277264,4.14,10.92,7.82093858632677,1.17034378302699,17.63,24.66,20.7178910776362,1.74419672899059,0,0,29.6382754884125,0.353120938459632,3345
"7","CPD1","CP","deep","CPD",6,8,56.75,7.885905148,3351.04912387403,2.86,10.09,6.7185625,1.36271351250774,20.08,24.64,21.8054583333333,0.923347024071404,0,0,29.0979687866667,0.28866876992516,570
"8","CPD1","CP","deep","CPD",7,7,58,9.258200998,3291.01675983973,1.9,10.94,7.999375,1.70556153698825,17.34,24.77,20.6348307291667,1.500422790479,15,0,28.2023391098958,0.781029604024161,4035
"9","CPD1","CP","deep","CPD",8,7,63.57142857,9.271417565,4454.29705756225,5.22,11.87,8.38256944444444,1.04800547395038,20.33,25.69,23.0289756944444,1.49919520187374,0,0,29.0792065630208,0.58124827513897,4230
"10","CPD1","CP","deep","CPD",9,6,68.33333333,8.768630959,4830.48103869932,6.621394,9.79875,8.21891197321429,0.652404388784421,18.66,25.36,23.6115327380952,1.11340572654012,0,0,28.7331094133929,0.421275005715186,5160
"11","CPD1","CP","deep","CPD",10,6,71,7.371114796,5388.95208012814,3.94,12.8,7.83981481481482,1.49100748691531,20.93,27.49,23.7668865740741,1.71183980258529,0,540,28.1073161392361,0.50543715597953,4755
"12","CPD1","CP","deep","CPD",11,4,68.25,6.339361167,3083.21102296729,5.64,13.19,7.96638888888889,1.47023718066244,23.27,27.86,25.456875,1.22579788066829,0,585,27.4286931371528,0.328025189173331,1350
"13","CPD2","CP","deep","CPD",0,10,36.1,3.505709629,796.804377961828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","CPD2","CP","deep","CPD",1,8,35.375,6.650892797,661.813542750478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","CPD2","CP","deep","CPD",2,6,44.83333333,4.058598554,1031.49835882944,1.43,12.41,7.81672473867596,2.20377159891619,12.31,22.18,17.0450987224158,2.4604056000966,165,0,31.5773817842044,0.819015850958255,3570
"16","CPD2","CP","deep","CPD",3,5,53.6,2.154065923,1577.95333684696,0.2,10.96,7.30201822916667,2.27378609869394,17.66,22.81,20.0035026041667,1.50394807585113,630,0,29.6940515294271,0.611320793961351,2745
"17","CPD2","CP","deep","CPD",4,4,54.25,3.897114317,1338.28777177365,0.01,9.24,3.72296160877514,2.91171852450107,16.04,19.97,18.0664533820841,0.783115221245167,2955,0,29.9599357159049,0.244252774440211,120
"18","CPD2","CP","deep","CPD",5,4,53.5,5.722761571,1309.24141798735,4.14,10.92,7.82093858632677,1.17034378302699,17.63,24.66,20.7178910776362,1.74419672899059,0,0,29.6382754884125,0.353120938459632,3345
"19","CPD2","CP","deep","CPD",6,3,62.33333333,4.921607687,1656.91916754412,2.86,10.09,6.7185625,1.36271351250774,20.08,24.64,21.8054583333333,0.923347024071404,0,0,29.0979687866667,0.28866876992516,570
"20","CPD2","CP","deep","CPD",7,3,70.33333333,6.236095645,2567.85528586582,1.9,10.94,7.999375,1.70556153698825,17.34,24.77,20.6348307291667,1.500422790479,15,0,28.2023391098958,0.781029604024161,4035
"21","CPD2","CP","deep","CPD",8,3,71.33333333,3.858612301,2642.57666339656,5.22,11.87,8.38256944444444,1.04800547395038,20.33,25.69,23.0289756944444,1.49919520187374,0,0,29.0792065630208,0.58124827513897,4230
"22","CPD2","CP","deep","CPD",9,2,84.5,0.5,3184.41619262945,6.621394,9.79875,8.21891197321429,0.652404388784421,18.66,25.36,23.6115327380952,1.11340572654012,0,0,28.7331094133929,0.421275005715186,5160
"23","CPD2","CP","deep","CPD",10,2,85.5,4.5,3362.77881460894,3.94,12.8,7.83981481481482,1.49100748691531,20.93,27.49,23.7668865740741,1.71183980258529,0,540,28.1073161392361,0.50543715597953,4755
"24","CPD2","CP","deep","CPD",11,0,0,0,0,5.64,13.19,7.96638888888889,1.47023718066244,23.27,27.86,25.456875,1.22579788066829,0,585,27.4286931371528,0.328025189173331,1350
"25","CPD3","CP","deep","CPD",0,10,35.8,4.044749683,783.930521837112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","CPD3","CP","deep","CPD",1,9,36.44444444,3.095197395,735.175965852442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CPD3","CP","deep","CPD",2,9,43.66666667,7.760297818,1555.11144828102,1.43,12.41,7.81672473867596,2.20377159891619,12.31,22.18,17.0450987224158,2.4604056000966,165,0,31.5773817842044,0.819015850958255,3570
"28","CPD3","CP","deep","CPD",3,9,53.44444444,6.767752148,2994.15604116807,0.2,10.96,7.30201822916667,2.27378609869394,17.66,22.81,20.0035026041667,1.50394807585113,630,0,29.6940515294271,0.611320793961351,2745
"29","CPD3","CP","deep","CPD",4,8,60.5,5.634713835,4012.36689878479,0.01,9.24,3.72296160877514,2.91171852450107,16.04,19.97,18.0664533820841,0.783115221245167,2955,0,29.9599357159049,0.244252774440211,120
"30","CPD3","CP","deep","CPD",5,8,59,5.634713835,3684.74756306648,4.14,10.92,7.82093858632677,1.17034378302699,17.63,24.66,20.7178910776362,1.74419672899059,0,0,29.6382754884125,0.353120938459632,3345
"31","CPD3","CP","deep","CPD",6,8,64,7.549834435,5025.94582819922,2.86,10.09,6.7185625,1.36271351250774,20.08,24.64,21.8054583333333,0.923347024071404,0,0,29.0979687866667,0.28866876992516,570
"32","CPD3","CP","deep","CPD",7,8,69.125,8.908387901,6687.00066125646,1.9,10.94,7.999375,1.70556153698825,17.34,24.77,20.6348307291667,1.500422790479,15,0,28.2023391098958,0.781029604024161,4035
"33","CPD3","CP","deep","CPD",8,8,70.125,7.235977819,6873.99480928072,5.22,11.87,8.38256944444444,1.04800547395038,20.33,25.69,23.0289756944444,1.49919520187374,0,0,29.0792065630208,0.58124827513897,4230
"34","CPD3","CP","deep","CPD",9,7,74,10.59649538,7596.46711152091,6.621394,9.79875,8.21891197321429,0.652404388784421,18.66,25.36,23.6115327380952,1.11340572654012,0,0,28.7331094133929,0.421275005715186,5160
